year,rank,name,genre,lyricist,lyrics
1980,1,가까이 하기엔 너무 먼 당신,발라드,이광조,"아 당신은
 당신은 누구시길래
 내 맘 깊은 곳에
 외로움 심으셨나요
 그냥 스처 지나갈 바람이라면
 모르는 타인들처럼
 아무말 말고 가세요
 잊으려하면 할수록
 그리움이 더욱 하겠지만
 가까이 하기엔 너무 먼
 당신을 난 난 잊을테요
 
 그냥 스쳐 지나갈 바람이라면
 모르는 타인들처럼
 아무말 말고 가세요
 잊으려면 할수록
 그리움이 더욱 더하겠지만
 가까이 하기엔 너무 먼
 당신을 난 난 잊을테여"
1980,2,가나다라,포크/블루스,송창식,"가나다라마바사
 아자차카타파하 헤이헤이
 하고싶은 말들은
 너무너무 많은데
 이 내 노래는 너무 너무 짧고
 일이삼사오륙칠
 팔구 하고 십이요 헤이헤이
 하고싶은 일들은
 너무너무 많은데
 이내 두팔이 너무 모자라고
 일엽편주에 이마음 띄우고 허
 웃음한번 웃자
 어기여 어기여
 어기여 어기여
 노를 저어 나아가라
 가자 가자 가자
 가슴한번 다시 펴고
 하늘천따지 검을현
 누루황 헤이헤이
 알고싶은 진리는
 너무너무 많은데
 이내 머리가 너무너무 작고
 일엽편주에 이마음 띄우고 허
 웃음한번 웃자
 
 태종태세문단세
 예성연중인명선 헤이헤이
 쫓고싶은 인물은
 너무너무 많은데
 이내 다리가 너무너무 짧고
 갑자을축 병인정묘
 무진기사 경오신미 헤이헤이
 잡고싶은 순간은
 너무너무 많은데
 가는 세월은 너무 빠르고
 일엽편주에 이마음 띄우고 허
 웃음한번 웃자
 어기여 어기여
 어기여 어기여
 이리뛰고 저리뛰고
 뱅글 뱅글 뱅글
 다시보면 다시 그자리
 중건천 중곤지
 수뢰둔 산수몽 헤이 헤이
 하늘보고 땅보고
 여기저기 보아도
 세상만사는 너무너무 깊고
 일엽편주에 이마음 띄우고 허
 웃음한번 웃자
 일엽편주에 이마음 띄우고 허
 웃음한번 크게 웃자고"
1980,3,가슴앓이,발라드,강영철,"밤별들이 내려와
 창문틈에 머물고
 너의 맘이 다가와
 따뜻하게 나를 안으며
 예전부터 내곁에
 있는듯한 네 모습에
 내가 가진 모든 것을
 네게 주고 싶었는데
 골목길을 돌아서
 뛰어가는 네 그림자
 동그랗게 내버려진
 나의 사랑이여
 아 어쩌란 말이냐
 흩어진 이 마음을
 아 어쩌란 말이냐
 이 아픈 가슴을
 아 어쩌란 말이냐
 흩어진 이 마음을
 아 어쩌란 말이냐
 이 아픈 가슴을
 
 그 큰 두 눈에
 하나가득 눈물 고이면
 세상 모든 슬픔이
 내 가슴에 와 닿고
 네가 웃는 그 모습에
 세상 기쁨 담길 때
 내 가슴에 환한 빛이
 따뜻하게 비쳤는데
 안녕하며 돌아서
 뛰어가는 네 뒷모습
 동그랗게 내버려진
 나의 사랑이여
 아 어쩌란 말이냐
 흩어진 이 마음을
 아 어쩌란 말이냐
 이 아픈 가슴을
 아 어쩌란 말이냐
 흩어진 이 마음을
 아 어쩌란 말이냐
 이 아픈 가슴을
 아 어쩌란 말이냐
 흩어진 이 마음을
 아 어쩌란 말이냐
 이 아픈 가슴을
 아 어쩌란 말이냐
 흩어진 이 마음을
 아 어쩌란 말이냐
 이 아픈 가슴을"
1980,4,가시나무,발라드,하덕규,"내속엔 내가 너무도 많아
 당신에 쉴곳 없네
 내속엔 헛된 바람들로
 당신에 편할곳 없네
 내속엔 내가 어쩔수 없는 어둠
 당신에 쉴자리를 뺏고
 내속엔 내가 이길수 없는 슬픔
 무성한 가시나무숲 같네
 바람만 불면 그 메마른 가지
 서로 부대끼며 울어대고
 쉴곳을 찾아 지쳐날아온
 어린 새들도
 가시에 찔려 날아가고
 바람만 불면 외롭고 또 괴로워
 슬픈노래를
 부르던 날이 많았는대
 내속엔 내가 너무도 많아서
 당신에 쉴곳 없네"
1980,5,가을을 남기고 간 사랑,성인가요/트로트,박춘석,"가을을 남기고 떠난 사람
 겨울은 아직 멀리 있는데
 사랑할 수록 깊어가는 슬픔에
 눈물은 향기로운 꿈이었나
 
 당신의 눈물이 생각날 때
 기억에 남아 있는 꿈들이
 눈을 감으면 수많은 별이 되어
 어두운 밤하늘에 흘러가리
 
 아 그대 곁에 잠들고 싶어라
 날개를 접은 철새처럼
 눈물로 쓰여진 그 편지는
 눈물로 다시 지우렵니다
 내 가슴에 봄은 멀리 있지만
 내 사랑 꽃이 되고 싶어라
 
 아 그대 곁에 잠들고 싶어라
 날개를 접은 철새처럼
 눈물로 쓰여진 그 편지는
 눈물로 다시 지우렵니다
 내 가슴에 봄은 멀리 있지만
 내 사랑 꽃이 되고 싶어라"
1980,6,개똥벌레,포크/블루스,한들,"아무리 우겨봐도 어쩔 수 없네
 저기 개똥무덤이 내 집인걸
 가슴을 내밀어도 친구가 없네
 노래하던 새들도 멀리 날아가네
 가지마라 가지마라 가지말아라
 나를 위해 한번만 노래를 해주렴
 난나 나나나나 쓰라린 가슴 앉고
 오늘밤도 그렇게 울다 잠이든다
 마음을 다주어도 친구가 없네
 사랑하고 싶지만 마음뿐인 걸
 나는 개똥벌레 어쩔수없네
 손을 잡고 싶지만 모두 떠나가네
 가지마라 가지마라 가지말아라
 나를 위해 한번만 손을 잡아주렴
 아아 외로운 밤 쓰라린 가슴앉고
 오늘밤도 그렇게 울다 잠이든다
 가지마라 가지마라 가지말아라
 나를 위해 한번만 손을 잡아주렴
 아아 외로운밤 쓰라린 가슴앉고
 오늘밤도 그렇게 울다 잠이든다
 울다 잠이든다
 오늘밤도 그렇게
 울다 잠이든다"
1980,7,갯바위,포크/블루스,강영철,"나는 나는 갯바위
 당신은 나를 사랑하는 파도
 어느 고운 바람 불던날
 잔잔히 다가와
 부드러운 손길로 나를 감싸고
 향기로운 입술도 내게 주었지
 세찬 비바람에 내몸이 패이고
 이는 파도에 깨끗이 부서져도
 나의 생은 당신의
 조각품인것을
 나는 당신으로 인해
 아름다운 것을
 나는 나는 갯바위
 당신은 나를 사랑하는 파도
 우린 오늘도 마주보며
 이렇게 서있네
 
 세찬 비바람에 내몸이 패이고
 이는 파도에 깨끗이 부서져도
 나의 생은 당신의
 조각품인것을
 나는 당신으로 인해
 아름다운 것을
 나는 나는 갯바위
 당신은 나를 사랑하는 파도
 우린 오늘도 마주보며
 이렇게 서있네
 나는 나는 갯바위
 당신은 나를 사랑하는 파도
 우린 오늘도 마주보며
 이렇게 서있네
 이렇게 서있네"
1980,8,거리에서,포크/블루스,김창기,"거리에 가로등불이
 하나둘씩 켜지고
 검붉은 노을 너머
 또 하루가 저물땐
 왠지 모든것이 꿈결 같아요
 유리에 비친 내 모습은
 무얼 찾고 있는지
 뭐라 말하려 해도
 기억하려 하여도
 허한 눈길만이 되돌아와요
 그리운 그대
 아름다운 모습으로
 마치 아무일도 없던 것처럼
 내가 알지 못하는 머나먼
 그곳으로 떠나 버린 후
 사랑의 슬픈 추억은
 소리없이 흩어져
 이젠 그대 모습도
 함께 나눈 사랑도
 더딘 시간속에 잊혀져가요
 
 거리에 짙은 어둠이
 낙엽처럼 쌓이고
 차가운 바람만이
 나의 곁을 스치면
 왠지 모든것이 꿈결 같아요
 옷깃을 세워 걸으며
 웃음지려 하여도
 떠나가던 그대의
 모습 보일것 같아
 다시 돌아보며
 눈물 흘려요 그리운 그대
 아름다운 모습으로
 마치 아무일도 없던 것처럼
 내가 알지 못하는 머나먼
 그곳으로 떠나 버린 후
 사랑의 슬픈 추억은
 소리없이 흩어져
 이젠 그대 모습도
 함께 나눈 사랑도
 더딘 시간속에 잊혀져가요
 더딘 시간속에 잊혀져가요"
1980,9,겨울 비는 내리고,성인가요/트로트,김범룡,"그 누구인가 내게 다가와
 나를 바라보는 애달픈 눈동자
 비를 맞으며 우뚝 선 모습
 떠나려 하는 내 님이련가
 바보같지만 바보같지만
 나는 정말로 보낼 수가 없어
 하얀 내 얼굴 난 사랑했는데
 어떡해야 하나 눈물이 흐르네
 바람 불어와 뒤돌아 보면
 당신은 저 멀리 사라져 버리고
 아픈 마음에 홀로 걸으면
 겨울비 내려와 머리를 적시네
 
 바보같지만 바보같지만
 나는 정말로 보낼 수가 없어
 하얀 내 얼굴 난 사랑했는데
 어떡해야 하나 눈물이 흐르네
 바람 불어와 뒤돌아 보면
 당신은 저 멀리 사라져 버리고
 아픈 마음에 홀로 걸으면
 겨울비 내려와 머리를 적시네
 겨울비 내려와 머리를 적시네
 겨울비 내려와 머리를 적시네"
1980,10,겨울아이,발라드,박원빈,"겨울에 태어난 아름다운 당신은
 눈처럼 깨끗한 나만의 당신
 겨울에 태어난 사랑스런 당신은
 눈처럼 맑은 나만의 당신
 하지만 봄 여름과 가을 겨울
 언제나 맑고 깨끗해
 겨울에 태어난 아름다운 당신은
 눈처럼 깨끗한 나만의 당신
 
 하지만 봄 여름과 가을 겨울
 언제나 맑고 깨끗해
 겨울에 태어난 아름다운 당신은
 눈처럼 깨끗한 나만의 당신
 생일 축하합니다 생일 축하합니다
 생일 축하합니다 당신의 생일을
 Happy birthday to you
 Happy birthday to you
 Happy birthday to you
 Happy birthday to you
 Happy birthday to you
 Happy birthday to you
 Happy birthday to you
 Happy birthday to you"
