year,rank,name,genre,lyricist,lyrics
1990,11,애모,성인가요/트로트,김수희,"그대 가슴에 얼굴을 묻고
 오늘은 울고 싶어라
 세월의 강 넘어 우리 사랑은
 눈물 속에 흔들리는데
 얼만큼 나 더 살아야
 그대를 잊을 수 있나
 한 마디 말이 모자라서
 다가설 수 없는 사람아
 그대 앞에만 서면
 나는 왜 작아지는가
 그대 등 뒤에 서면
 내 눈은 젖어드는데
 사랑 때문에 침묵해야 할
 나는 당신의 여자
 그리고 추억이 있는 한
 당신은 나의 남자여
 그대 앞에만 서면
 나는 왜 작아지는가
 그대 등 뒤에 서면
 내 눈은 젖어 드는데
 사랑 때문에 침묵해야 할
 나는 당신의 여자
 그리고 추억이 있는 한
 당신은 나의 남자여
 당신은 나의 남자여"
1990,12,너를 향한 마음,발라드,어수은,"너를 향한 마음은 언제나 변함없어
 이제는 모든 것이 달라졌다 하여도
 언젠가는 한번쯤 너를 기억할거야
 초라한 모습만 남게 되겠지
 한번쯤 우연히 만날 것도 같은데
 닮은 사람 하나 보지 못했어
 영화속에서나 일어나는 일일까
 저 골목을 돌면 만나지려나
 언제라도 내게 돌아오기를
 바보처럼 기다리는
 어리석은 나의 모습을
 그댄 짐작조차 할 순 없겠지
 하지만 그댄 언젠가
 이런 나의 마음 알지도 몰라
 한번쯤 우연히 만날 것도 같은데
 닮은 사람 하나 보지 못했어
 영화속에서나 일어나는 일일까
 저 골목을 돌면 만나지려나
 언제라도 내게 돌아오기를
 바보처럼 기다리는
 어리석은 나의 모습을
 그댄 짐작조차 할 순 없겠지
 하지만 그댄 언젠가
 이런 나의 마음 알지도 몰라
 닿을 수 없었던 나의 마음을
 더는 내 것 일수 없는
 너를 향한 나의 마음을
 그댄 짐작조차 할 순 없겠지
 하지만 그댄 언젠가
 이런 나의 마음 알지도 몰라"
1990,13,이 밤이 지나도록,발라드,유영석,"아무말도 난 하지 못했어
 놓인 커피잔만 바라보았지
 그대 내게 무슨 말 하려 하는지
 이미 나는 알고 있다는걸
 넌 아니
 이렇게 난 될 줄 알았지
 하지만 네가 무작정 좋았어
 어두워져만 가던 나의 마음에
 꿈에 젖은 너의 눈을 담았어
 그러나 이제는 우리 서로가
 다른 길을 가야 하겠지
 작은 기쁨 있어도
 괜히 들뜨고 작은 슬픔에도
 쓰려하던 넌 어디로
 가야만 하는 거니
 이밤이 다 지나도록
 가야만 하는 거니
 너만을 생각해
 너의 모습 보고파
 꿈에서 만날 수 있는
 너의 모습 보고파
 밤만을 기다리는데 너는 왜
 
 이제는 우리 서로가
 다른 길을 가야 하겠지
 작은 기쁨 있어도 괜히
 들뜨고 작은 슬픔에도
 쓰려하던 넌 어디로
 가야만 하는 거니
 이밤이 다 지나도록
 가야만 하는 거니
 너만을 생각해
 너의 모습 보고파
 꿈에서 만날 수 있는
 너의 모습 보고파
 밤만을 기다리는데
 너는 내곁을 떠나 어느 곳에서
 같은 별을 바라보는지
 이밤 지나도록 이밤 지나도록
 같은 하늘 아래 있는 것으론
 남은 그리움 지울 수가 없어
 하지만 어쩔 수 없잖아
 추억 아름답게 간직할 수밖엔
 너의 모습 보고파
 이밤이 다 지나도록
 너의 모습 보고파
 너만을 생각해
 너의 모습 보고파
 꿈에서 만날수 있는
 너의 모습 보고파
 밤만을 기다리는데
 너의 모습 보고파
 이밤이 다 지나도록
 너의 모습 보고파
 너만을 생각해
 너의 모습 보고파
 꿈에서 만날수 있는
 너의 모습 보고파
 밤만을 기다리는데"
1990,14,희망사항,발라드,노영심,"청바지가 잘 어울리는 여자
 밥을 많이 먹어도
 배 안나오는 여자
 내 얘기가 재미 없어도
 웃어주는 여자
 난 그런 여자가 좋더라
 머리에 무스를 바르지 않아도
 윤기가 흐르는 여자
 내 고요한 눈빛을 보면서
 시력을 맞추는 여자
 김치 볶음밥을 잘 만드는 여자
 웃을때 목젖이 보이는 여자
 내가 돈이 없을 때에도
 마음 편하게 만날 수 있는 여자
 멋내지 않아도 멋이 나는 여자
 껌을 씹어도 소리가 안나는 여자
 뚱뚱해도 다리가 예뻐서
 짧은 치마가 어울리는 여자
 내가 울적하고 속이 상할때
 그저 바라만 봐도
 위로가 되는 여자
 나를 만난 이후로 미팅을
 한번도 한번도 안한 여자
 라라라라라라라라라라라
 라라라라라라라라라라라라
 라라라라라라라라
 라라라라라라라라라라라
 라라라라라라라라라라라
 라라라라라라라라라라라라
 라라라라라라라라
 라라라라라라라라라라라
 난 그런 여자가 좋더라
 난 그런 여자가 좋더라
 여보세요 날 좀 잠깐 보세요
 희망사항이 정말 거창하군요
 그런 여자한테 너무 잘 어울리는
 난 그런 남자가 좋더라"
1990,15,넋두리,발라드,김현식,"쓸쓸한 거리에 나 홀로 앉아서
 바람의 떨리는 소리를 들었지
 
 어디서 왔다가 어디로 가는지
 설레이는 이 내 마음이여
 꺼질 듯 타오는 거리의 네온을
 내 품에 안고서 헤매고 있었지
 멀리로 떠나는 내 님의 뒷모습
 깨어진 꿈이었나
 힘 없는 내 발길에
 다가선 님의 모습
 인생을 몰랐던
 나의 길고 긴 세월
 갈 테면 가라지
 그렇게 힘이 들면
 가다가 지치면 또 일어나겠지
 
 쓸쓸한 거리에 나 홀로 앉아
 바람의 떨리는 소리를 들었지
 어디서 왔다가 어디로 가는지
 설레이는 이 내 마음이여
 꺼질 듯 타오는 거리의 네온을
 내 품에 안고서 헤매고 있었지
 멀리로 떠나는 내 님의 뒷모습
 깨어진 꿈이었나
 힘 없는 내 발길에
 다가선 님의 모습
 인생을 몰랐던
 나의 길고 긴 세월
 갈 테면 가라지
 그렇게 힘이 들면
 가다가 지치면 또 일어나겠지"
1990,16,핑계,댄스,김창환,"지금도 이해할 수 없는 그 얘기로
 넌 핑계를 대고 있어
 내게 그런 핑곌 대지마
 입장 바꿔 생각을 해봐
 니가 지금 나라면 넌 웃을 수 있니
 혼자 남는 법을
 내게 가르쳐 준다며
 농담처럼 진담인 듯 건넨 그 한마디
 안개꽃 한다발 속에 숨겨둔 편지엔
 안녕이란 두 글자만 깊게 새겨 있어
 이렇게 쉽게 니가
 날 떠날 줄은 몰랐어
 아무런 준비도 없는 내게
 슬픈 사랑을 가르쳐 준다며
 넌 핑계를 대고 있어
 내게 그런 핑곌 대지마
 입장 바꿔 생각을 해봐
 니가 지금 나라면 넌 웃을 수 있니
 혼자 남는 법을
 내게 가르쳐 준다며
 농담처럼 진담인듯 건넨 그 한마디
 안개꽃 한다발 속에 숨겨둔 편지엔
 안녕이란 두 글자만 깊게 새겨있어
 이렇게 쉽게 니가 날
 떠날 줄은 몰랐어
 아무런 준비도 없는 내게
 슬픈 사랑을 가르쳐 준다며
 넌 핑계를 대고 있어
 이렇게 쉽게 니가 날
 떠날 줄은 몰랐어
 아무런 준비도 없는 내게
 슬픈 사랑을 가르쳐 준다며
 넌 핑계를 대고있어"
1990,17,신(新) 인류의 사랑,록/메탈,정석원,"맘에 안드는 그녀에겐 계속 전화가
 오고
 내가 전화하는 그녀는 나를 피하려
 하고
 거리엔 괜찮은 사람 많은데
 소개를 받으러 나간 자리엔
 어디서 이런 여자들만 나오는 거야
 야 나도 이젠 다른 친구들처럼
 맘에드는 누군가를 사귀어 보고 싶어
 어쩌다 마음에 드는
 그녀 남자친구가 있고
 별로 예쁘지 않은 그녀 괜히
 콧대만 세고
 거리에서 본 괜찮은 여자에게
 용기를 내서 말을 걸어보면
 항상 젤 못생긴 친구가 훼방을 놓지
 야 나도 이젠 다른 친구들처럼
 맘에드는 누군가를 사귀어 보고 싶어
 주위를 보면 나보다 못난
 남자들이 다 예쁜 여자와
 잘도 다니는데 나는 왜 이럴까
 야 나도 이젠 다른 친구들처럼
 맘에드는 누군가를 사귀어 보고 싶어"
1990,18,사랑을 위하여,성인가요/트로트,김종환,"이른 아침에 잠에서 깨어
 너를 바라볼 수 있다면
 물안개 피는 강가에 서서
 작은 미소로 너를 부르리
 하루를 살아도
 행복할 수 있다면
 나는 그 길을 택하고 싶다
 세상이 우리를 힘들게 하여도
 우리들은 변하지 않아
 너를 사랑하기에
 저 하늘 끝에
 마지막 남은 진실 하나로
 오래 두어도
 진정 변하지 않는
 사랑으로 남게 해주오
 내가 아플 때보다
 네가 아파할 때가
 내 가슴을 철들게 했고
 너의 사랑 앞에
 나는 옷을 벗었다
 거짓의 옷을 벗어버렸다
 너를 사랑하기에
 저 하늘 끝에
 마지막 남은 진실하나로
 오래 두어도 진정 변하지 않는
 사랑으로 남게 해주오
 너를 사랑하기에 저 하늘 끝에
 마지막 남은 진실 하나로
 오래 두어도 진정 변하지 않는
 사랑으로 남게 해주오
 사랑으로 남게 해주오"
1990,19,너에게 들려주고 싶은 이야기,발라드,정석원,"너에게 들려 주고 싶은 이야기
 너는 언제나 마음을 열지 못하고
 그에게 다가서지만
 그럴 필요있겠니 내가 보기엔
 넌 그를 사랑하고 있는걸
 너는 이게 사랑일까 의심하지만
 사랑이란건 네가 생각하듯이
 그렇게 어렵고 대단한게 아냐
 동화속의 왕자님은
 현실엔 없는거야
 오늘도 그는 웃으며
 너를 사랑한다고 말을 했겠지
 넌 그에게 친구로서 좋아하지만
 그게 사랑인지는
 모르겠다 했겠지
 하지만 잘 생각해봐
 너는 사랑을 받기만을 즐기며
 주는 것을 자존심 상해하는
 이기적인 생각을 가졌을 뿐이야
 소중한건 언제나
 소중한건 언제나
 네곁에 있는거야
 네곁에 있는거야
 이제는 마음을 열어봐
 이제는 그의 품에
 이제는 그의 품에
 안겨서 쉬는 거야
 안겨서 쉬는 거야
 제발 고민하지마
 더 좋은 남잘 만날 수
 있을 것 같아서
 그렇게 망설이니
 그러면 그는 이 세상에서
 너보다 더 좋은 여자가
 없을 것 같아 너를 사랑하겠니
 시간이 흐르면
 더 편한 안식처를
 찾을 수 있을 것 같겠 지만
 결국은 그렇지 못하고
 과거에 너를 지켜주던
 그늘이 그리워질걸
 너는 하루종일
 그의 생각을 하다가도
 전화가 오면
 하루 종일 너무 바빠
 그의 생각을 할 틈이 없었다
 얘기하겠지
 그가 만나자 하면
 너는 아주 약속이 많은
 바쁜 사람인양 얘기를 하지
 기껏해야 카페에서 친구들이랑
 수다 떠는 일이 다일텐데
 이제는 네가 그를
 그렇게도 너를 사랑하는 사람을
 감싸줘야만해
 가슴을 아프게 해야만 너의
 부질없는 자존심이 세워지니
 사랑에는 자존심이 없는거야
 그를 위해 네 마음의
 그를 위해 네 마음의
 한구석을 단장해봐
 한구석을 단장해봐
 현재의 그에게 충실해봐"
1990,20,사랑일뿐야,발라드,박주연,"나를 어떻게
 생각하냐고
 너는 내게 묻지만
 대답하기는 힘들어
 너에게 이런
 얘길 한다면
 너는 어떤
 표정 지을까
 언젠가 너의
 집 앞을 비추던
 골목길 외등
 바라보며
 길었던 나의
 외로움의 끝을
 비로소 느꼈던 거야
 그대를 만나기 위해
 많은 이별을
 했는지 몰라
 그대는 나의
 온몸으로 부딪혀
 느끼는
 사랑일 뿐야
 나를 어떻게
 생각하냐고
 너는 내게 묻지만
 대답하기는 힘들어
 너에게 이런
 얘길 한다면
 너는 어떤
 표정 지을까
 언젠가 너의
 집 앞을 비추던
 골목길 외등
 바라보며
 길었던 나의
 외로움의 끝을
 비로소 느꼈던 거야
 그대를 만나기 위해
 많은 이별을
 했는지 몰라
 그대는 나의
 온몸으로 부딪혀
 느끼는
 사랑일 뿐야"
